2026-08-02 01:40:04 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig14a_mcda_rank_sensitivity_stream_A.pdf
2026-08-02 01:40:04 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig14a_mcda_rank_sensitivity_stream_A.csv
2026-08-02 01:40:04 | INFO     | co2_forecast | fig14: 8 schemes, top choice disagrees in 18/28 pairs
2026-08-02 01:40:05 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig14b_mcda_rank_sensitivity_stream_B.pdf
2026-08-02 01:40:05 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig14b_mcda_rank_sensitivity_stream_B.csv
2026-08-02 01:40:05 | INFO     | co2_forecast | fig14: 8 schemes, top choice disagrees in 19/28 pairs
2026-08-02 01:40:05 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig08_b1_feature_selection_membership.pdf
2026-08-02 01:40:05 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig08_b1_feature_selection_membership.csv
2026-08-02 01:40:05 | INFO     | co2_forecast | fig08/09 (B1): 11 features x 5 FS methods
2026-08-02 01:40:06 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig08_b2_feature_selection_membership.pdf
2026-08-02 01:40:06 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig08_b2_feature_selection_membership.csv
2026-08-02 01:40:06 | INFO     | co2_forecast | fig08/09 (B2): 25 features x 5 FS methods
2026-08-02 01:40:06 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig08_b3_feature_selection_membership.pdf
2026-08-02 01:40:06 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig08_b3_feature_selection_membership.csv
2026-08-02 01:40:06 | INFO     | co2_forecast | fig08/09 (B3): 23 features x 5 FS methods
2026-08-02 01:40:07 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig08_b4_feature_selection_membership.pdf
2026-08-02 01:40:07 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig08_b4_feature_selection_membership.csv
2026-08-02 01:40:07 | INFO     | co2_forecast | fig08/09 (B4): 37 features x 5 FS methods
2026-08-02 01:40:07 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig15_best_A_cross_model_feature_importance.pdf
2026-08-02 01:40:07 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig15_best_A_cross_model_feature_importance.csv
2026-08-02 01:40:07 | INFO     | co2_forecast | fig15: top 15 of 23 features
2026-08-02 01:40:07 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig17_best_A_regime_specific_importance.pdf
2026-08-02 01:40:07 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig17_best_A_regime_specific_importance.csv
2026-08-02 01:40:07 | INFO     | co2_forecast | fig17: 10 features x 3 regimes
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig18_best_A_target_derived_feature_sensitivity.pdf
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig18_best_A_target_derived_feature_sensitivity.csv
2026-08-02 01:40:08 | INFO     | co2_forecast | fig18: 1 variants
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig15_best_B_cross_model_feature_importance.pdf
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig15_best_B_cross_model_feature_importance.csv
2026-08-02 01:40:08 | INFO     | co2_forecast | fig15: top 6 of 6 features
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig17_best_B_regime_specific_importance.pdf
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig17_best_B_regime_specific_importance.csv
2026-08-02 01:40:08 | INFO     | co2_forecast | fig17: 6 features x 3 regimes
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig18_best_B_target_derived_feature_sensitivity.pdf
2026-08-02 01:40:08 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig18_best_B_target_derived_feature_sensitivity.csv
2026-08-02 01:40:08 | INFO     | co2_forecast | fig18: 1 variants
2026-08-02 01:40:09 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig15_best_overall_cross_model_feature_importance.pdf
2026-08-02 01:40:09 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig15_best_overall_cross_model_feature_importance.csv
2026-08-02 01:40:09 | INFO     | co2_forecast | fig15: top 15 of 23 features
2026-08-02 01:40:09 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig17_best_overall_regime_specific_importance.pdf
2026-08-02 01:40:09 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig17_best_overall_regime_specific_importance.csv
2026-08-02 01:40:09 | INFO     | co2_forecast | fig17: 10 features x 3 regimes
2026-08-02 01:40:09 | INFO     | co2_forecast | Saved figure: outputs/figures/pdf/main/fig18_best_overall_target_derived_feature_sensitivity.pdf
2026-08-02 01:40:09 | INFO     | co2_forecast | Saved plot data: outputs/figures/pdf/plot_data/fig18_best_overall_target_derived_feature_sensitivity.csv
2026-08-02 01:40:09 | INFO     | co2_forecast | fig18: 1 variants
2026-08-02 01:40:09 | INFO     | co2_forecast | ============================================================
2026-08-02 01:40:09 | INFO     | co2_forecast | Script 14 complete! 25 figures generated: ['fig01', 'fig02', 'fig03', 'fig03a', 'fig11a', 'fig03b', 'fig03c', 'fig11b', 'fig03d', 'fig05', 'fig14a', 'fig14b', 'fig08_b1', 'fig08_b2', 'fig08_b3', 'fig08_b4', 'fig15_best_A', 'fig17_best_A', 'fig18_best_A', 'fig15_best_B', 'fig17_best_B', 'fig18_best_B', 'fig15_best_overall', 'fig17_best_overall', 'fig18_best_overall']
2026-08-02 01:40:09 | INFO     | co2_forecast |   Still requiring dedicated builder/CLI wiring (spec sections 25/27): the 36-PDF forecast atlas (family/stream/overall/A-vs-B out-of-sample forecasts - data already saved under fold_predictions/, builder not yet written), mobility/OWID/NESO data-quality figures, PSO convergence, forecast-error distributions, cross-model SHAP agreement.
2026-08-02 01:40:09 | INFO     | co2_forecast | ============================================================
