model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds
catboost,6333.358818178695,0.8760702086134917,1.076308451144956,0.0003659067758608,2731.936545510404,12729.30371358319,7596.266640264322,9264.68198755248,7.32887481620148,6.9413898364353575,1.076308451144956,-0.3848768256584129,4644.088110386696,5664.62209434422,4.450242176913112,4.485682598362856,0.6264776960347113,0.4612711798432526,5709.995324652628,6184.305722864693,5.524039958451388,5.494578716514311,0.7498633711530012,0.4905258796739535,A2,panel2_common_period,fs_linear,11,7,119.684157371521
lstm,4498.883947088074,0.6234859258448091,0.8172398470744863,0.0006458274299835,1547.4012502000132,6541.3726562500015,5767.837073863645,6729.431751904463,5.485658579460239,5.362202449857268,0.8172398470744863,0.2693541858416592,2594.470117187502,3201.890934826188,2.5210564233529684,2.5295850196200007,0.3499885494875321,0.8278760140384025,4183.121875000004,4844.652501022725,4.090059407033111,4.048649999628914,0.5493471873065315,0.6873449204450135,A2,panel2_common_period,fs_linear,11,7,3.865551233291626
ridge,5702.372827842859,0.7860856531422471,0.8821848843120009,0.0008271207681668,1208.013288611185,7311.8764060707,6226.199933779175,7153.690899937875,6.194493337062263,5.985010728862236,0.8821848843120009,0.1743224875301997,4624.940681747812,5895.870778843557,4.66844502920258,4.532290420153977,0.6238947482754195,0.416387966012259,6008.953282144641,6360.563102369193,5.930212919051264,5.821262941350248,0.7891239325181044,0.4610712436953718,A2,panel2_common_period,fs_wrapper,20,7,0.0053021907806396
random_forest,6069.299516339675,0.8385735722897497,0.979294383544156,0.0005394279825196,1852.81558318315,9412.755200400648,6911.570051132871,8179.561610279787,6.872270008708041,6.553526832072709,0.979294383544156,-0.0794689892232853,5324.26227523996,7084.892403355997,5.071157251075778,5.164486715906932,0.7182317570195976,0.1572576017672049,5081.179041006262,5583.549083347544,4.892231284524379,4.880552314989897,0.6672842670589622,0.5847009833414658,A2,panel2_common_period,fs_wrapper,20,7,1.5144691467285156
lightgbm,5965.111142433183,0.8199400089152868,0.8912217443309824,0.0003424757184687,2918.915036520674,10548.213924874402,5922.015553170771,6930.326199416527,5.846488023739373,5.615118720363952,0.8390852624767507,0.225078932803255,5489.411920628436,7691.0203877298145,5.181206030938677,5.339472991718757,0.7405100960357166,0.0068925250539693,6786.398948296332,7899.809847413263,6.5772080482486,6.337810580401151,0.8912217443309824,0.1686699068257316,A2,panel2_common_period,fs_wrapper,20,7,0.5711550712585449
catboost,5319.304129790324,0.7346997953865027,0.8568345466206043,0.0008053392972747,1240.7126587315815,7321.167792595323,6047.284749828198,7322.097056857986,5.939644627763858,5.688950509050001,0.8568345466206043,0.1349901015178625,4482.863448266176,5218.918634267479,4.383773259069257,4.370404960729825,0.6047288289873055,0.5427124499416097,4754.01360198186,5352.32582590957,4.491094394113225,4.52690481527677,0.624319366900044,0.6183851087307819,A2,panel2_common_period,fs_wrapper,20,7,119.60757875442503
lstm,7231.497640269866,0.993460293687899,1.056687273845982,0.0011927824140245,837.3758749643903,8234.229296874983,6978.624147727257,7968.510149205136,6.871581979312204,6.7083264739521296,0.9887952205034436,-0.0244821003383941,7109.7041015624745,8482.460788880315,7.203513253115832,6.920293351467528,0.9590840955566026,-0.2080142213422495,8046.371679687476,8861.322775660472,7.850897383087715,7.755755481699057,1.056687273845982,-0.0460136177815775,A2,panel2_common_period,fs_wrapper,20,7,4.539450407028198
ridge,6270.182162479973,0.8631033673313251,0.930123763559192,0.0009511175372332,1050.3947654765475,7592.672546029629,6564.538361587408,7673.4638522487985,6.471661130259182,6.319559878947846,0.930123763559192,0.0499794102818121,5275.1363280857895,6447.311060084788,5.315562804349726,5.1762843868802975,0.7116047703093681,0.3021122530366875,7026.860416302661,7664.916119287239,6.912568345531553,6.789344170077259,0.9228002722945924,0.21737261664704,A2,panel2_common_period,fs_xgboost_shap,5,7,0.0055012702941894
random_forest,5304.337277865428,0.7285041110310485,0.821464724428051,0.0007623376758412,1310.7546616025531,7671.331426471894,4898.655944693688,5736.14421840694,4.811896948954509,4.667027448393554,0.694086324534526,0.4691274883956958,6089.529737395504,7273.852773213012,5.795722963133045,5.899456212427172,0.821464724428051,0.1117047527737671,5140.751921499666,5836.265748415,4.874088164329297,4.911689624025789,0.6751076571768511,0.5462565760031948,A2,panel2_common_period,fs_xgboost_shap,5,7,1.9086756706237795
lightgbm,6716.808875176458,0.922891212995426,1.1035877135494152,0.000295791828069,3379.7560084679485,12309.042881355115,6718.456951972848,8013.432863196335,6.5009566434507535,6.260756728625795,0.9519323555248902,-0.03606575705059,5589.597912031119,6211.520836387391,5.382235736389774,5.40487384982661,0.754024975076993,0.3522249472857814,8403.50512790349,9793.845073046536,8.10939392296805,7.705214898599542,1.1035877135494152,-0.2777523422385839,A2,panel2_common_period,fs_xgboost_shap,5,7,0.3189785480499267
