2026-08-23 21:08:10 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:10 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (6), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (2), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:11 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:12 | WARNING  | co2_forecast | Model training failed with params {'lookback': 7, 'hidden_size': 33, 'num_layers': 1, 'dropout': 0.3174646446740698, 'learning_rate': 0.004142028037008457, 'batch_size': 16}: LSTM.fit: training data has 8 rows, giving only 1 sequence(s) with lookback=7; at least 2 are required (one is always reserved for validation). Reduce lookback or provide more training history.
2026-08-23 21:08:12 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:12 | WARNING  | co2_forecast | Very few sequences (7), LSTM may not train well
2026-08-23 21:08:12 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:12 | WARNING  | co2_forecast | Very few sequences (3), LSTM may not train well
2026-08-23 21:08:12 | WARNING  | co2_forecast | Very few sequences (4), LSTM may not train well
2026-08-23 21:08:12 | WARNING  | co2_forecast | Very few sequences (8), LSTM may not train well
